case_id,name_zh,name_en,period,actor,conflict_context,target_or_platform,decoy_form,mobility,spectral_features,deception_effect,source_quality,source_refs,notes,feature_dimension,domain,physical_evolution
HIST-1944-FORTITUDE,坚忍行动南方,Operation Fortitude South,1944,Allied forces / FUSAG,Second World War / Normandy landings,"Invasion force, landing craft, armor, aircraft, unit presence",Physical decoys plus radio and double-agent deception,Static / relocatable,"Optical, radio traffic, human-source narrative",Misled German command about invasion location and timing; reinforced Pas-de-Calais expectation,A,IWM-FORTITUDE; ENGLISH-HERITAGE-FORTITUDE; AUP-FORTRESS-EUROPE,Canonical example of decoys supporting a broader deception story rather than acting alone.,mixed,cross_domain,classic
HIST-1991-DESERT-STORM,沙漠风暴欺骗行动,Desert Storm deception,1990-1991,U.S.-led coalition,Operation Desert Shield / Desert Storm,"Coalition main effort, amphibious threat, ground maneuver plan","Operational deception, demonstrations, feints, emissions and posture management",Static / maneuver-integrated,"Optical posture, radio/signals, movement pattern",Fixed Iraqi attention toward Kuwait and the coast while coalition ground maneuver developed elsewhere,A,AUP-DECEPTION-DESERT; CGSC-DESERT-STORM-DECEPTION,Useful for studying decoys as part of campaign design.,mixed,cross_domain,classic
HIST-1991-SCUD-HUNT,沙漠风暴飞毛腿搜猎,Operation Desert Storm Scud hunt,1991,Iraq / coalition ISR-strike forces,Gulf War,Mobile Scud TELs and similar-looking vehicles,"Mobility, concealment, possible decoys and look-alike vehicles",Mobile,"Optical, mobility pattern, launcher signature ambiguity","Consumed large ISR, SOF, and air effort; many reported kills were hard to validate",B,SOFNEWS-SCUD-HUNT; NGWRC-SCUD; JSTOR-SCUD-HUNT,Treat as a targeting-ambiguity case; individual decoy claims require corroboration.,physical,land,mechanical
HIST-1999-KOSOVO,科索沃空袭假目标,Kosovo / Operation Allied Force decoys,1999,Federal Republic of Yugoslavia / Serbian forces,NATO Operation Allied Force,"Tanks, artillery, fielded forces, IADS elements","Camouflage, mockups, decoys, emission discipline, shoot-and-scoot tactics",Static / mobile / relocatable,"Optical, thermal cues, radar emission control, pattern-of-life denial",Preserved some forces and complicated NATO BDA and target validation,A/B,RAND-KOSOVO; NDU-KOSOVO-FIELDED-FORCES; AFMC-SERBIAN-IADS; PARAMETERS-KOSOVO-INFO-SUPERIORITY,Strong case for countering airpower with deception plus disciplined emissions.,mixed,land,mechanical
MOD-2022-INFLATECH-UKRAINE,俄乌战场充气假目标,Russia-Ukraine inflatable decoys,2022-present,Ukraine / Russia / Inflatech and other suppliers,Russia-Ukraine war,"Tanks, artillery, aircraft, HIMARS-like systems, radars, vehicles",Inflatable and physical decoys,Relocatable,"Optical, thermal and radar claims vary by vendor/model",Draws reconnaissance and strike attention; supports cost-imposition against precision weapons,B,AP-INFLATECH; RFERL-INFLATECH; FORBES-DECOY-TANKS; INFLATECH-HOME,Keep vendor performance claims separate from verified battlefield effects.,physical,land,mechanical
MOD-2023-RUSSIAN-DECOY-UNITS,俄军充气装备与伪装工程分队,Russian inflatable decoy units in Ukraine,2022-present,Russian forces / camouflage engineer units,Russia-Ukraine war,"T-72-like tanks, radars, missile systems, aircraft-like targets",Inflatable and physical decoys,Relocatable,"Optical, possible thermal/radar augmentation",Creates false target density and complicates drone-observed BDA,B/C,NEWSWEEK-RUSSIAN-INFLATABLE; 1945-RUSSIA-INFLATABLE,Open-source imagery claims should be treated as provisional unless geolocated and corroborated.,physical,land,mechanical
MOD-2024-US-ARMY-EXERCISE,美军演训中的充气目标与假电台,Inflatable decoys and fake radio signals in U.S. Army exercise,2024,U.S. Army / 10th Mountain Division exercise,Training / tactical deception,Artillery or command-post-like target signatures,Inflatable decoys plus faked radio signals,Relocatable,"Optical, electromagnetic",Baited opposing-force fires and exposed enemy artillery in exercise context,B,TWZ-US-ARMY-DECOYS; WARROOM-EM-DECOYS,Useful bridge between doctrine discussion and field experimentation.,mixed,land,informationized
MOD-2025-RU-UA-DECOY-TANKS,俄乌高级假坦克竞赛,Russia-Ukraine advanced decoy tanks,2025,Ukraine and Russia,Russia-Ukraine war,Main battle tanks and armored vehicles,Improved inflatable/physical decoys,Relocatable,"Optical, thermal, radar-related claims",Arms race in decoy realism under drone surveillance and precision strike,A/B,USNI-DECOY-WARFARE-UKRAINE; FORBES-DECOY-TANKS; NV-UA-DECOY-ARMS-RACE,USNI anchors Ukraine decoy-warfare context; tank-specific arms-race details still depend on media reporting.,physical,land,mechanical
IND-SEA-WOLF-F35,Sea Wolf F-35 充气诱饵,Sea Wolf Global F-35 decoy,2020s,Sea Wolf Global / Seawolf Marine,Industry / airbase survivability,F-35 aircraft on ground,Inflatable aircraft decoy,Relocatable,"Optical, thermal/IR, radar reflector categories, wireless-control claims",Creates false aircraft targets at airfields or dispersed operating sites,A/B,SEAWOLF-F35; INTERESTING-ENGINEERING-F35; DEFENSE-REDEFINED-F35; SANDBOXX-F35,Vendor page is primary for product claims; media adds deployment-time and cost context.,physical,air,mechanical
IND-TEMERLAND-LEOPARD,Temerland 主动豹式坦克假目标,Temerland active Leopard tank decoy,2020s,Temerland,Industry / Russia-Ukraine-inspired concept,Leopard tank,Vehicle-based active dummy / mobile decoy,Remote-controlled / mobile,"Optical, behavior, possible thermal/mechanical cues",Adds movement and behavior to increase target credibility,A/B,TEMERLAND-LEOPARD; EUROMAIDAN-TEMERLAND,Useful active-decoy concept; independent effectiveness remains unverified.,physical,land,intelligent
CONCEPT-EM-DECOYS,电磁诱饵与假指挥节点,Electromagnetic decoys and false C2 nodes,2020s,U.S. Army / Marine Corps concepts,Modern multi-domain operations,"Command posts, formations, radars, C2 nodes","Electromagnetic decoy, false emission, signature management",Static / mobile / air-dropped concepts,"RF, radio traffic, radar/EMS signatures","Confuses targeting, causes wasted fires, masks real formations, supports feints",A/B,WARROOM-EM-DECOYS; WOTR-EMS-DECEPTION; DEFENSESCOOP-EMS-DECOY,Most useful as concept and requirements input rather than a single hardware case.,signal,ems,informationized
AIRBASE-ACE,敏捷战斗运用与机场生存力,Agile Combat Employment and airbase survivability,2020s,U.S. Air Force / RAND / CRS,Airbase survivability under precision strike,"Aircraft, airbases, dispersal sites, sustainment nodes",Dispersal plus passive defense and deception,Distributed / relocatable,"Optical, thermal, pattern-of-life, force posture",Complicates adversary find-fix-track-target-engage-assess cycle,A,USAF-ACE; RAND-AIRBASE-ATTACKS; CRS-ACE; AIR-UNIVERSITY-ACE,Operational context for autonomous aircraft decoys and false airbase signatures.,mixed,air,informationized
IND-INFLATECH-CATALOG,INFLATECH 充气军事假目标,INFLATECH inflatable military decoys,2020s,INFLATECH / NorseStorm distribution,Industry / modern conflict demand,"Tanks, launchers, radars, aircraft, trucks, artillery",Inflatable decoys,Relocatable,"Optical, thermal and radar claims by product family",Provides scalable false target inventory for training and combat deception,A/B,INFLATECH-HOME; INFLATECH-NEWS; NORSESTORM-INFLATABLE; AP-INFLATECH,Good taxonomy source for product categories.,physical,cross_domain,mechanical
CONCEPT-REPLICATOR,可消耗自主系统规模化,Replicator and attritable autonomous systems,2023-present,U.S. Department of Defense / DIU,U.S. autonomy and mass initiative,All-domain attritable autonomous systems,Autonomous attritable systems; not necessarily decoys,Mobile / autonomous,"Autonomy, coordination, distributed behavior",Strategic context for low-cost mass and expendable platforms that can include decoy functions,A,DIU-REPLICATOR; DIU-REPLICATOR-SOFTWARE,"Use as adjacent concept, not proof of any specific decoy program.",behavioral,cross_domain,intelligent
MOD-2020-NK-AN2,纳卡战争 An-2 诱饵无人机压制防空,Nagorno-Karabakh An-2 bait-drone SEAD,2020,Azerbaijan,Second Nagorno-Karabakh War,"Armenian air defenses (SAMs, radars); decoy imitates a manned strike aircraft",Physical/behavioral decoy (Soviet-era An-2 converted to expendable drone),Autonomous / one-way,"Optical, radar return of a large slow aircraft, flight behavior","Baited Armenian air-defense radars and launchers into activating and firing, exposing their positions for Bayraktar TB2 and loitering-munition (Harop) strikes; SEAD by decoy",A/B,ARMY-NK2020-LESSONS; RAF-ASPR-NK-DRONES; BAS-AN2-CROPDUSTER; SWJ-NK-LESSONS,"Flagship modern case of an attritable decoy used for suppression of enemy air defenses; the SEAD effect is widely reported, but individual loss and kill tallies vary by source.",behavioral,air,intelligent
MOD-2022-UA-HIMARS-DECOY,乌克兰假 HIMARS 诱骗俄军巡航导弹,Ukrainian decoy HIMARS luring Russian cruise missiles,2022-present,Ukraine (Metinvest and other firms/volunteers),Russia-Ukraine war,"HIMARS/M270-like launchers, M777 howitzers, Sentinel-type radars; protects real launchers","Physical decoys: early wooden mockups, later higher-fidelity replicas; 250+ mock-ups reported",Relocatable,Optical (UAV/satellite); reported thermal/radar augmentation on later models,Drew repeated Russian Kalibr and Iskander strikes onto worthless targets; cost-imposition on scarce precision missiles; reportedly ~10 Kalibr drawn in the early episode,A/B,USNI-DECOY-WARFARE-UKRAINE; WAPO-UA-HIMARS-DECOY; UP-KALIBR-VS-HIMARS; EUROMAIDAN-MASTERS-ILLUSION; ARMYRECOG-FORTITUDE,USNI provides the stronger campaign-level anchor; specific HIMARS-baiting counts remain media-reported and not independently verified.,physical,land,mechanical
